id,description,title,price,nominal,img,gender,category
21WMSK042000,Sudadera felpa parches vaqueros,Newcollection,99.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw5c89fe10/images/B2C/21WMSK04_2000_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
21WMTK311000,Camiseta patch étnico,Newcollection,49.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dwa66ccefb/images/B2C/21WMTK31_1000_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
21WMTK331021,Camiseta surf 100% algodón,Newcollection,39.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw61f91a00/images/B2C/21WMTK33_1021_4.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
21WMTK409020,Camiseta arty 100% algodón,Newcollection,49.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw3f121ea4/images/B2C/21WMTK40_9020_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
21WMTK032007,Camiseta regular postales fotográficas,Newcollection,49.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw04ee914d/images/B2C/21WMTK03_2007_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
21WMLK015001,Polo algodón y denim,Newcollection,79.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw1c2c39c1/images/B2C/21WMLK01_5001_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
21WMCW055001,Camisa regular patch tartán,Newcollection,89.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw7ed16164/images/B2C/21WMCW05_5001_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
21WMCW284086,Sobrecamisa patch,Newcollection,99.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw92f795b3/images/B2C/21WMCW28_4086_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
21WMLK082000,Polo tie-dye 100% algodón,Newcollection,59.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw190480c4/images/B2C/21WMLK08_2000_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
21WMCW091000,Camisa popelín reserva vaquera,Newcollection,89.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw665419e9/images/B2C/21WMCW09_1000_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
21WMTK224014,Camiseta básica algodón,Newcollection,49.0,€,https://www.desigual.com/dw/image/v2/BCVV_PRD/on/demandware.static/-/Sites-desigual-m-catalog/default/dw85a65a06/images/B2C/21WMTK22_4014_1.jpg?sfrm=jpg&sw=420&q=90,Kids,Ropasostenibledehombre
